renderer,state,digest,route,lod,camera_scale,developed_width_share,developed_height_share,public_realm_width_share,public_realm_height_share,priority_width_share,priority_height_share,nodes,drawables,actions
after-4a6914a,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,compact,neighborhood,0.580237865,0.719762,2.555263,1.367549,2.608024,0.575810,1.467483,1758,813,0
after-4a6914a,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,compact,block,0.455687702,0.916490,3.253676,1.741332,3.320858,0.733192,1.868580,1758,813,0
after-4a6914a,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,regular,city,0.561938047,0.520000,1.112492,0.988000,1.135463,0.520000,1.112492,1836,847,0
after-4a6914a,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,regular,neighborhood,0.514312983,0.568152,1.215508,1.079488,1.240606,0.568152,1.215508,1855,861,0
after-4a6914a,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,regular,block,0.419062763,0.697289,1.491785,1.324849,1.522587,0.697289,1.491785,1855,861,0
after-4a6914a,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,compact,city,0.740000010,0.564369,2.003595,1.072302,2.044965,0.564369,2.003595,1836,847,0
after-4a6914a,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,compact,neighborhood,0.660000026,0.632778,2.246455,1.202278,2.292840,0.632778,2.246455,1855,861,0
after-4a6914a,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,compact,block,0.500000000,0.835267,2.965320,1.587007,3.026549,0.835267,2.965320,1855,861,0
after-4a6914a,industrial-upgraded-district-v2,765774d35970a67db0d0f90a0ed9f18e39a8690bf57ac900f5793d3866db4942,regular,city,0.449550450,0.650000,1.390615,1.235000,1.419328,0.520000,0.798628,1740,805,0
after-4a6914a,industrial-upgraded-district-v2,765774d35970a67db0d0f90a0ed9f18e39a8690bf57ac900f5793d3866db4942,regular,neighborhood,0.422359467,0.691846,1.480141,1.314508,1.510703,0.553477,0.850042,1759,819,0
after-4a6914a,industrial-upgraded-district-v2,765774d35970a67db0d0f90a0ed9f18e39a8690bf57ac900f5793d3866db4942,regular,block,0.367977470,0.794092,1.698885,1.508774,1.733964,0.635273,0.975667,1759,819,0
after-4a6914a,industrial-upgraded-district-v2,765774d35970a67db0d0f90a0ed9f18e39a8690bf57ac900f5793d3866db4942,compact,city,0.642512918,0.650000,2.307596,1.235000,2.355243,0.520000,1.325248,1710,775,0
after-4a6914a,industrial-upgraded-district-v2,765774d35970a67db0d0f90a0ed9f18e39a8690bf57ac900f5793d3866db4942,compact,neighborhood,0.580237865,0.719762,2.555263,1.367549,2.608024,0.575810,1.467483,1729,789,0
after-4a6914a,industrial-upgraded-district-v2,765774d35970a67db0d0f90a0ed9f18e39a8690bf57ac900f5793d3866db4942,compact,block,0.455687702,0.916490,3.253676,1.741332,3.320858,0.733192,1.868580,1729,789,0
after-4a6914a,industrial-terminal-district-v2,ea6b45cd5f647507916eda1ff1102aafe832493a364a86a1471cf8b164a0fc4b,regular,city,0.561938047,0.520000,1.112492,0.988000,1.135463,0.520000,1.112492,1836,847,0
after-4a6914a,industrial-terminal-district-v2,ea6b45cd5f647507916eda1ff1102aafe832493a364a86a1471cf8b164a0fc4b,regular,neighborhood,0.514312983,0.568152,1.215508,1.079488,1.240606,0.568152,1.215508,1855,861,0
after-4a6914a,industrial-terminal-district-v2,ea6b45cd5f647507916eda1ff1102aafe832493a364a86a1471cf8b164a0fc4b,regular,block,0.419062763,0.697289,1.491785,1.324849,1.522587,0.697289,1.491785,1855,861,0
after-4a6914a,industrial-terminal-district-v2,ea6b45cd5f647507916eda1ff1102aafe832493a364a86a1471cf8b164a0fc4b,compact,city,0.740000010,0.564369,2.003595,1.072302,2.044965,0.564369,2.003595,1836,847,0
after-4a6914a,industrial-terminal-district-v2,ea6b45cd5f647507916eda1ff1102aafe832493a364a86a1471cf8b164a0fc4b,compact,neighborhood,0.660000026,0.632778,2.246455,1.202278,2.292840,0.632778,2.246455,1855,861,0
after-4a6914a,industrial-terminal-district-v2,ea6b45cd5f647507916eda1ff1102aafe832493a364a86a1471cf8b164a0fc4b,compact,block,0.500000000,0.835267,2.965320,1.587007,3.026549,0.835267,2.965320,1855,861,0
